t,<x^2>,Std Error of Mean,"F_s(q1,R(t))","F_s(q2,R(t))","F_s(q3,R(t))",StdErrorOfMeanRq1,StdErrorOfMeanRq2,StdErrorOfMeanRq3
0,1,0,0.999,0.540302,-0.932497,#NAME?,#NAME?,5.11E-09
1,1.84,0.081388,0.998161,0.348572,0.879986,8.13E-05,0.0288143,0.00530852
2,2.81333,0.136739,0.99719,0.193435,-0.822206,0.000136511,0.0261563,0.00831672
3,4.01333,0.202429,0.995993,0.0938705,0.755702,0.000201889,0.0292273,0.0115002
4,5.08,0.259209,0.994931,0.0343541,-0.700423,0.00025826,0.0287971,0.0137836
5,5.91333,0.312959,0.994102,0.0296523,0.661862,0.000311513,0.028971,0.0156476
6,6.89333,0.35985,0.993127,-0.0138714,-0.615448,0.00035787,0.0292156,0.0170376
7,8.08667,0.416798,0.991942,-0.0302686,0.562319,0.000414117,0.0284984,0.0186627
8,8.85333,0.483101,0.991183,-0.0184717,-0.538401,0.000479302,0.0291202,0.0199148
9,9.76667,0.552809,0.99028,0.00700432,0.509649,0.000547574,0.0289796,0.0211143
10,10.56,0.575683,0.989492,-0.00509145,-0.475263,0.000570156,0.0288374,0.0218041
11,11.6267,0.639541,0.988437,-0.00504608,0.443693,0.000633195,0.0287092,0.0230744
12,12.0267,0.670803,0.988042,0.0532344,-0.434142,0.000663651,0.0281253,0.0237662
13,12.66,0.699862,0.987415,0.043441,0.414868,0.000692504,0.0292306,0.0243681
14,14.1733,0.780096,0.985921,0.0448622,-0.371872,0.000771004,0.0280201,0.0253145
15,14.9067,0.824599,0.985198,0.0281695,0.35266,0.000814073,0.0292842,0.0254593
16,16.12,0.881084,0.984,0.0169094,-0.318896,0.000869119,0.0285516,0.0258741
17,17.14,0.93472,0.982996,-0.0287488,0.293458,0.000921002,0.028147,0.0261349
18,18.3067,0.989185,0.981846,-0.0142382,-0.268713,0.000974577,0.0288021,0.0264975
19,19.5467,1.04009,0.980624,-0.0630734,0.236423,0.00102379,0.028071,0.0266048
20,20.6533,1.06139,0.979529,-0.0110977,-0.202235,0.00104487,0.0287569,0.027296
21,22.6867,1.16646,0.977534,-0.0192854,0.166373,0.00114625,0.0287899,0.0276777
22,23.2667,1.21486,0.97697,0.00100965,-0.155534,0.00119133,0.0285728,0.0275503
23,23.58,1.20004,0.976655,-0.033453,0.141452,0.00117787,0.0283367,0.0276337
24,24.7067,1.30116,0.975563,-0.0283098,-0.145167,0.00127515,0.0292145,0.027958
25,25.64,1.38931,0.97466,-0.0217574,0.14088,0.00135811,0.0290838,0.02788
26,26.7867,1.4512,0.973541,-0.0466661,-0.134906,0.00141843,0.0289301,0.0280247
27,27.7,1.50173,0.972651,-0.0245288,0.126976,0.0014667,0.0287893,0.0284095
28,29.0533,1.59566,0.971339,-0.045064,-0.117842,0.0015551,0.0293464,0.028346
29,29.7867,1.6688,0.970636,-0.0159572,0.121864,0.00162313,0.0289737,0.0285441
30,29.6533,1.64157,0.970759,-0.0144229,-0.102831,0.00159554,0.0287049,0.0281283
31,30.8933,1.70625,0.969553,0.0101376,0.0896963,0.00165728,0.029038,0.0286332
32,31.7333,1.736,0.968731,-0.00709654,-0.0792374,0.00168591,0.0289806,0.0283178
33,33.7867,1.82925,0.966733,-0.0109267,0.0613433,0.00177401,0.0284388,0.0290704
34,35.08,1.88446,0.965475,-0.0235191,-0.0570523,0.00182856,0.0290306,0.0291311
35,35.9133,1.90751,0.96466,0.0151354,0.0439099,0.00185099,0.029353,0.0289323
36,37.6533,1.99653,0.962975,0.0256462,-0.0439563,0.00193599,0.0282872,0.0289738
37,39.2267,2.11859,0.961471,-0.0234353,0.0522973,0.00205056,0.0289923,0.0284625
38,40.3733,2.17547,0.960363,0.0124733,-0.0533338,0.0021052,0.0287915,0.0292916
39,42.3267,2.27045,0.958478,0.0030549,0.0321858,0.00219269,0.0285037,0.0291728
40,42.8133,2.27587,0.958001,0.0320154,-0.0290517,0.00219909,0.0290902,0.0288824
41,43.52,2.29251,0.957312,-0.0331574,0.0114293,0.00221404,0.0282556,0.0287761
42,44.9067,2.36793,0.95598,-0.00435929,-0.014659,0.00228487,0.0291816,0.0288379
43,47.3067,2.53791,0.953697,0.0129997,0.021743,0.00244144,0.0291276,0.0291251
44,49.24,2.58548,0.951819,0.0234406,-0.0101524,0.0024891,0.0284033,0.0293097
45,48.94,2.62297,0.952133,0.00485461,0.00746393,0.0025187,0.0285764,0.0293635
46,50.2667,2.63582,0.950835,-0.0348298,-0.000462114,0.00253444,0.0292373,0.0290826
47,50.92,2.69269,0.950221,-0.00739665,-0.0127277,0.00258383,0.0282322,0.0291407
48,51.6,2.73894,0.949578,-0.0241385,-0.000880113,0.00262823,0.0292168,0.0294547
49,52.2867,2.78799,0.948929,-0.0331829,0.00760198,0.0026726,0.0281497,0.0296308
50,54.2133,2.88586,0.94709,0.0204262,0.000118289,0.00276158,0.0290672,0.0292442
51,55.5933,2.98206,0.94579,0.046393,0.0100688,0.00285132,0.0286296,0.0288587
52,55.76,2.9584,0.945613,0.0471234,0.00482916,0.00282874,0.0281184,0.0285322
53,57.3867,3.07142,0.944082,-0.00751204,-0.010392,0.00292996,0.0291153,0.0281107
54,59.6933,3.15941,0.941873,-0.03906,0.0303679,0.00300771,0.0293666,0.0281858
55,60.4333,3.21649,0.941183,-0.0464601,-0.0170056,0.00306284,0.028572,0.0282909
56,61.84,3.28193,0.939846,-0.0263621,0.01794,0.00312012,0.0283925,0.0278927
57,63.3333,3.38404,0.93845,-0.0236959,0.0160935,0.00321934,0.0288615,0.0278184
58,63.44,3.42784,0.938374,-0.0579045,-0.0209131,0.00325691,0.0287774,0.0283022
59,63.7,3.43666,0.938126,-0.0627433,0.00791966,0.00326566,0.0284961,0.0281409
60,64.04,3.5049,0.937838,-0.00956576,-0.00262543,0.00332202,0.0287281,0.0282636
61,65.3733,3.63053,0.936619,0.0102299,-0.000729498,0.00343055,0.0287863,0.0285081
62,66.6133,3.68918,0.935447,0.0271418,0.011566,0.00348433,0.0290363,0.0293771
63,67.28,3.71242,0.934813,0.0231248,-0.00603015,0.00351084,0.0291465,0.0291932
64,67.6,3.74236,0.934521,-0.0380657,0.0145954,0.00353453,0.0290425,0.0292759
65,67.88,3.74511,0.934249,0.0354788,-0.0133742,0.0035375,0.0294263,0.029096
66,67,3.67111,0.935057,0.0322536,-6.25E-05,0.00347352,0.027589,0.0290733
67,68.3867,3.75361,0.933759,0.00952637,-0.0168434,0.00354035,0.0289661,0.0291971
68,68.24,3.6774,0.933849,-0.0058613,0.00201707,0.00348042,0.0292245,0.028993
69,70.22,3.80581,0.932006,0.0253121,-0.0114617,0.0035891,0.0292336,0.0289125
70,71.7867,3.94786,0.93058,0.0203581,0.0307373,0.00370525,0.0288435,0.0287148
71,72.0067,4.02632,0.930424,0.0127354,-0.0370476,0.00376479,0.0285683,0.0287082
72,73.2267,4.15766,0.929335,0.00204086,0.0209465,0.00387607,0.0295502,0.0291574
73,74.5733,4.3433,0.92817,-0.0273699,0.00359788,0.00403053,0.0286002,0.0290217
74,74.9067,4.28705,0.927801,-0.0765529,0.00483538,0.00399211,0.0289687,0.0292443
75,76.4467,4.40284,0.926396,-0.0566713,-0.0124885,0.00409427,0.0283625,0.0287033
76,77.64,4.52388,0.925336,-0.053591,0.00813501,0.00420052,0.0293197,0.0289121
77,78.8933,4.63314,0.924209,-0.0411121,0.000573863,0.00429106,0.0290833,0.0292066
78,79.9333,4.69389,0.923249,-0.0280525,0.0134771,0.00433879,0.0285062,0.0290078
79,81.5667,4.68971,0.921657,-0.00411043,-0.03197,0.00434156,0.029033,0.0283596
80,84,4.83746,0.919423,0.0177274,0.033143,0.00446666,0.0284557,0.0289089
81,84.26,4.88756,0.919216,-0.00854851,-0.0415919,0.00450517,0.0285835,0.0287445
82,86.2667,4.95051,0.917326,0.036912,0.0562437,0.00456664,0.0290431,0.0282473
83,87.0133,5.03414,0.916676,0.0181332,-0.0771832,0.00462491,0.0288751,0.0283432
84,88.2267,5.12552,0.915584,0.0487704,0.0735342,0.00469647,0.0286922,0.0290686
85,89.3533,5.20102,0.914563,0.025404,-0.0781076,0.00475494,0.0287644,0.0291556
86,90.28,5.21295,0.913675,-0.00381283,0.0852024,0.00476246,0.0286321,0.028984
87,91.8333,5.26126,0.912218,-0.0238475,-0.0811565,0.00481362,0.0284919,0.0289534
88,91.92,5.25298,0.912128,-0.0687146,0.074614,0.00481779,0.0292682,0.0290963
89,92.6267,5.33158,0.911523,-0.0608411,-0.0645533,0.0048887,0.0283867,0.0292086
90,95.44,5.45495,0.908922,-0.0421529,0.0700097,0.00499316,0.0294064,0.0285766
91,96.7333,5.58247,0.907802,-0.0451072,-0.0705579,0.00509828,0.027828,0.0284204
92,98.64,5.691,0.906071,-0.0128309,0.0449181,0.00518859,0.0293408,0.0284588
93,99.3867,5.73302,0.905394,-0.0169506,-0.0607237,0.00522404,0.0285959,0.0285962
94,99.4,5.79361,0.905449,-0.0262243,0.0727848,0.00528414,0.0286732,0.0286555
95,98.88,5.74099,0.905895,-0.0567772,-0.07212,0.00523994,0.0291347,0.0284231
96,99.3733,5.82627,0.905509,-0.0609482,0.050152,0.00530306,0.0284298,0.0282423
97,100.02,5.85904,0.90492,-0.0493442,-0.0373243,0.00533308,0.0285693,0.0281817
98,100.813,6.04551,0.904358,-0.086826,0.0484216,0.00547628,0.0287514,0.0282321
99,100.68,6.00831,0.904442,-0.0723311,-0.0312394,0.00543372,0.0291244,0.0285979
100,102.2,6.0639,0.903036,-0.00379355,0.0483829,0.00548351,0.027912,0.0286836
101,103.64,6.13241,0.901721,0.0232126,-0.0528669,0.00553265,0.0289346,0.0285208
102,103.04,5.97537,0.902127,-0.0151256,0.0472129,0.00541828,0.0290365,0.0282485
103,103.3,5.99928,0.901898,-0.0366876,-0.0388492,0.00542375,0.0288566,0.0287511
104,103.213,5.96321,0.90194,-0.0326626,0.026748,0.00538888,0.0293392,0.029051
105,104.82,6.03943,0.900477,-0.0332111,-0.00913965,0.00546248,0.028592,0.0290638
106,106.96,6.11311,0.898499,-0.0483047,0.016013,0.00553887,0.0290649,0.0293965
107,106.44,6.05168,0.89893,-0.0122694,-0.0174887,0.00548651,0.0283256,0.0292788
108,107.187,6.05232,0.898215,-0.00241781,0.0117021,0.00550379,0.029373,0.0288122
109,108.84,6.23013,0.896826,-0.0503853,-0.0168956,0.00565335,0.0285364,0.0285586
110,109.347,6.30057,0.896418,-0.0351828,0.0149647,0.00570566,0.0287859,0.0284524
111,110.847,6.43514,0.895135,-0.00159204,-0.0227577,0.00582225,0.028868,0.0287898
112,112.307,6.55294,0.893874,0.0358172,0.0213672,0.005929,0.0286237,0.0285966
113,114.38,6.61776,0.891961,0.015374,0.00362667,0.00599259,0.0291154,0.0288704
114,114.2,6.62011,0.892135,-0.0338678,-0.00311997,0.00598773,0.0292381,0.0289345
115,115.22,6.71189,0.891265,-0.0411196,-0.00144774,0.00605531,0.027954,0.0282301
116,117.96,6.91677,0.888887,-0.0599409,0.0094789,0.00621188,0.0288718,0.0280714
117,118.353,6.96172,0.888566,-0.0552393,0.00107004,0.00624549,0.0284488,0.028417
118,120.627,7.06512,0.886516,-0.0363442,0.00314833,0.00632714,0.0288859,0.0288901
119,121.413,7.14346,0.885859,-0.0560636,-0.00511786,0.00637532,0.0291829,0.028906
120,123.093,7.2586,0.884396,-0.0557716,0.0155435,0.00645494,0.028867,0.0289367
121,123.947,7.24772,0.883568,-0.0401223,-0.0106176,0.00646236,0.0284537,0.028038
122,124.853,7.2499,0.882703,-0.0235727,0.0289421,0.00647045,0.0295765,0.0280224
123,126.493,7.32205,0.881227,-0.00777788,-0.0374025,0.00652608,0.0279427,0.0281522
124,126.027,7.32683,0.881682,-0.0160488,0.0289214,0.00653266,0.0294379,0.0282653
125,126.333,7.4001,0.881491,0.00177418,-0.0302962,0.00659937,0.0284048,0.0284769
126,128.987,7.53871,0.879142,0.000145039,0.0119858,0.00671772,0.0296217,0.0289459
127,130.48,7.65993,0.877883,-0.0202891,-0.0028532,0.00681466,0.0281498,0.0289067
128,132.04,7.70749,0.876462,0.0128739,0.000329822,0.00686525,0.0284455,0.0291308
129,131.733,7.64427,0.876667,-0.0292712,-0.0115754,0.00682006,0.0284554,0.0290635
130,131.8,7.72188,0.876709,0.000699537,0.0124952,0.00686678,0.0285934,0.0292554
131,132.173,7.71883,0.876346,-0.0317192,-0.00917176,0.00686296,0.0288847,0.0289832
132,130.747,7.55611,0.877486,-0.0165581,0.00778723,0.00674595,0.0286489,0.0290809
133,132.5,7.68312,0.875988,0.0113092,-0.0240958,0.00684939,0.0292115,0.0285644
134,133.427,7.83762,0.875319,-0.0234902,0.00988397,0.00695841,0.0280457,0.0287223
135,133.673,7.83271,0.875072,-0.0346787,0.00154298,0.00694413,0.0292344,0.0288636
136,134.52,7.86604,0.87431,-0.0290199,-0.00654193,0.00697029,0.0284186,0.0289728
137,135.593,7.92421,0.873373,-0.0327278,0.00695127,0.00702749,0.0284257,0.0291967
138,134.533,7.75821,0.87415,-0.00638564,0.021786,0.00690816,0.0287245,0.029313
139,135.067,7.82485,0.873735,0.0142308,-0.0282489,0.00695726,0.0288535,0.0293839
140,134.187,7.78231,0.874513,0.00842576,0.0159958,0.00691938,0.0289016,0.0295026
141,136.26,7.8796,0.872678,0.000716637,-0.0146086,0.00701168,0.0286656,0.0290252
142,138.653,7.94278,0.870486,-0.00372009,0.0278088,0.00706772,0.0289044,0.0292073
143,138.42,7.83993,0.870559,-0.0092619,-0.0336321,0.0069859,0.0284228,0.029056
144,139.067,7.97027,0.87013,-0.0241327,0.0328171,0.00708292,0.0292297,0.0287617
145,139.84,8.09908,0.86958,0.038315,-0.0264613,0.00717753,0.0287752,0.0287779
146,139.96,8.08708,0.869449,0.0198089,0.0337044,0.00717303,0.0285415,0.0291106
147,142.227,8.30926,0.867618,0.000401249,-0.0218563,0.00733594,0.0288448,0.0287614
148,143.533,8.41987,0.866539,0.00884497,0.0275052,0.00741318,0.0291113,0.0286711
149,145.513,8.54418,0.864845,0.00693647,-0.0298411,0.00750727,0.0288466,0.0285008
150,145.787,8.56603,0.864614,0.00525375,0.0218969,0.00751275,0.0284183,0.02871
151,146.24,8.69119,0.86437,-0.0211048,-0.0139318,0.00758318,0.0291255,0.0286136
152,148.067,8.66408,0.862592,-0.00724825,0.0258681,0.00757015,0.0292139,0.0287431
153,149.04,8.78728,0.861854,-0.0119191,-0.0311045,0.00764518,0.0289466,0.0287148
154,151.053,8.90563,0.86013,0.00450203,0.0136051,0.00773438,0.0293724,0.0288464
155,150.487,8.9663,0.86076,-0.0230128,-0.00122842,0.0077637,0.0279726,0.0283062
156,152.92,9.07639,0.858635,-0.00521695,-0.00157059,0.00786635,0.029015,0.0286735
157,154.907,9.25712,0.857045,0.00167376,0.0148171,0.00799374,0.0289116,0.0285069
158,155,9.27107,0.856976,0.0334911,-0.00325204,0.00799405,0.0289893,0.0289401
159,157.093,9.33044,0.855088,0.0211483,0.0138569,0.00803864,0.0287335,0.0288867
160,156.107,9.29557,0.855973,0.0313876,0.00199908,0.00802852,0.0284586,0.0292844
161,157.153,9.37775,0.855113,0.0510079,0.00247713,0.0080789,0.0284364,0.0292944
162,159.573,9.49887,0.853035,0.0508936,-0.0161577,0.00819197,0.0293727,0.0293396
163,161.173,9.59756,0.851679,0.0377499,0.00716467,0.0082449,0.0288452,0.0297587
164,162.213,9.62553,0.850751,-0.000592715,0.00205726,0.00828279,0.0281836,0.0292388
165,162.347,9.59451,0.850564,0.0440365,0.00219954,0.0082477,0.0300894,0.0292285
166,162.2,9.55438,0.850635,0.0444461,-0.0019956,0.00822029,0.0278377,0.0293748
167,162.58,9.66002,0.850445,-0.00674795,0.00538358,0.0082688,0.0294211,0.029226
168,161.493,9.59539,0.851356,0.0650438,0.0049842,0.00820846,0.0283489,0.0297615
169,163.693,9.72659,0.849498,0.00198986,0.0126385,0.00830014,0.0286744,0.0299876
170,162.533,9.68787,0.850536,-0.0043378,0.00304797,0.00828548,0.0290988,0.0296212
171,163.407,9.80317,0.849899,0.0434522,-0.000106708,0.00834524,0.0290984,0.0295114
172,165.027,9.86959,0.848494,0.00429399,0.0135776,0.00841662,0.0289825,0.0291443
173,165.327,9.81135,0.848117,0.0502551,0.000203498,0.00839512,0.0286626,0.0292783
174,164.12,9.71552,0.849086,0.0250067,-0.0091964,0.00831362,0.0291902,0.0291589
175,165.353,9.7393,0.847966,0.0298982,0.00439704,0.008343,0.0284152,0.029214
176,164.72,9.78063,0.848624,0.0414962,-0.0160273,0.00834193,0.0290115,0.0294961
177,166.293,9.93449,0.847399,0.00177261,0.00915397,0.00843535,0.0283463,0.0295559
178,168.133,10.1035,0.845954,0.0353672,-0.0114726,0.00854103,0.0290946,0.029653
179,168.06,9.94893,0.845764,0.0219847,-0.00105319,0.00846896,0.028986,0.0289699
180,167.893,9.99212,0.845991,0.0425433,0.00988177,0.0084839,0.0297124,0.0290602
181,168.527,10.1556,0.845681,-0.00263137,-0.0108099,0.00858899,0.027965,0.0291206
182,169.053,10.1696,0.845215,0.00624502,0.0133539,0.00861178,0.0298727,0.0290613
183,171.207,10.3698,0.843546,-0.00840224,-0.020265,0.00874695,0.0288357,0.0289485
184,172.44,10.3544,0.842361,-0.00137171,0.0377607,0.00875218,0.0287006,0.0292003
185,173.62,10.4593,0.841434,0.0023145,-0.0293406,0.00880843,0.0286046,0.0290242
186,173.453,10.4865,0.841643,0.0141413,0.00160913,0.00882858,0.0283791,0.0290159
187,173.84,10.5711,0.841431,-0.00461696,-0.0105569,0.00887512,0.0287587,0.0292954
188,175.28,10.5079,0.839963,-0.0155749,0.00556321,0.00884931,0.0281805,0.0288039
189,178.027,10.6638,0.837661,-0.0209075,-0.00744483,0.00894841,0.028925,0.0286121
190,179.92,10.8119,0.836148,-0.041029,0.0124407,0.00902796,0.028499,0.0284135
191,179.627,11.0023,0.836779,-0.0165755,-0.0194714,0.00913537,0.0289816,0.0277798
192,183.28,11.2452,0.833825,-0.031867,0.0403501,0.00931514,0.0285734,0.0277478
193,186.627,11.427,0.831049,-0.0298091,-0.0578766,0.00945093,0.029126,0.0278196
194,186.52,11.4493,0.83119,-0.0118896,0.0583739,0.00945976,0.0289556,0.0277861
195,188.013,11.3167,0.829539,0.0210392,-0.0357775,0.009403,0.0285307,0.0278082
196,187.107,11.3274,0.830406,0.0102851,0.0423904,0.00939807,0.0283805,0.0282209
197,189.44,11.5281,0.828609,0.0399108,-0.048277,0.00951449,0.0288558,0.0285423
198,190.973,11.6022,0.827333,-0.0156824,0.0467699,0.00958546,0.0294216,0.0288179
199,193.42,11.8218,0.825481,-0.0412653,-0.0587511,0.00971625,0.0284611,0.0293986
200,193.693,11.8573,0.82529,-0.0172785,0.0472854,0.00972559,0.029201,0.0289809
201,194.447,11.8611,0.824593,0.00195106,-0.0523626,0.00973127,0.0289826,0.0289714
202,194.36,11.9099,0.824762,0.013292,0.0404516,0.0097409,0.0287253,0.0288
203,195.593,12.0544,0.823909,0.0117951,-0.0349645,0.00983546,0.028988,0.0290135
204,195.667,12.0507,0.823826,0.00814762,0.0409009,0.00982001,0.0289832,0.0292031
205,197.3,12.1468,0.822491,-0.0196601,-0.034175,0.00987254,0.0290985,0.0292909
206,196.627,12.1084,0.823035,-0.00354588,0.031141,0.00984012,0.0289499,0.0289344
207,198.167,12.2211,0.821834,-0.0546511,-0.0365808,0.00991828,0.0280353,0.0288526
208,199,12.2793,0.821183,-0.00307535,0.0361174,0.00996445,0.0287962,0.0283376
209,197.887,12.1906,0.822029,0.0515926,-0.0306063,0.00989731,0.0293713,0.0287161
210,196.44,12.0583,0.823103,0.0727101,0.0385211,0.00980854,0.0280629,0.028838
211,198.34,12.0793,0.821379,0.0168041,-0.0340235,0.00984184,0.0290485,0.0289125
212,198.573,12.2002,0.8214,0.0617698,0.0527502,0.00989319,0.0289119,0.0287579
213,201.553,12.5165,0.819263,0.0542575,-0.0582524,0.010053,0.0289573,0.0285237
214,203.587,12.6978,0.817761,0.0360614,0.0434688,0.0101751,0.028107,0.0283404
215,201.593,12.5021,0.819216,-0.0195903,-0.0474559,0.0100822,0.0288586,0.0283502
216,201.773,12.6055,0.819264,-0.039692,0.0550472,0.0101362,0.0280595,0.0287112
217,202.327,12.6465,0.818851,0.00268246,-0.034961,0.0101893,0.028918,0.0289543
218,202.547,12.559,0.818469,-0.0170536,0.0408719,0.0101569,0.0293861,0.0291612
219,204.433,12.7522,0.817111,-0.018191,-0.0312385,0.0102537,0.0295281,0.0289133
220,204.173,12.6478,0.817147,0.0164658,0.021962,0.0102183,0.0279966,0.0292486
221,206.307,12.9061,0.815696,0.0323915,-0.016329,0.010338,0.0295199,0.0292143
222,206.187,12.8425,0.815687,0.00586693,0.0146817,0.0103247,0.0284117,0.0287621
223,207.64,12.9209,0.814498,0.0326188,-0.0269945,0.0103666,0.0290435,0.0288148
224,210.387,12.8724,0.811858,0.0326488,0.0254256,0.0103839,0.0286813,0.0289124
225,212.953,13.048,0.80986,0.0133485,-0.0390879,0.0104926,0.0285495,0.0286407
226,215.08,13.1967,0.808223,-0.0383948,0.041413,0.0105926,0.0291735,0.0286937
227,214.107,13.2948,0.80934,-0.0204392,-0.0471973,0.0106368,0.029351,0.0283346
228,218.36,13.5536,0.805974,-0.0208253,0.0476463,0.0107888,0.0291233,0.0282205
229,220.513,13.5655,0.804021,-0.0226649,-0.0481965,0.0108255,0.0290845,0.0280824
230,220.88,13.7243,0.804053,0.0272299,0.040332,0.0109227,0.0285946,0.0282874
231,221.733,13.5873,0.802964,0.0185915,-0.0313387,0.0108745,0.0291512,0.0281645
232,222.64,13.7039,0.802366,-0.00399445,0.0298117,0.0109048,0.029181,0.0285044
233,225.667,14.0031,0.800239,0.0430653,-0.0330533,0.0110479,0.0283767,0.0289233
234,226.413,14.1441,0.799871,0.051417,0.0344859,0.0111133,0.0287617,0.0289336
235,227.34,14.1788,0.799115,0.0444358,-0.0315699,0.0111617,0.0290136,0.0289502
236,226.227,14.2233,0.800238,0.000967569,0.0217572,0.0111637,0.0291224,0.0290573
237,226.933,14.1436,0.799396,-0.0284567,-0.0218743,0.0111252,0.0284053,0.0290582
238,227.32,14.2547,0.799256,-0.0017623,0.0254946,0.0111239,0.0292692,0.0286029
239,228.353,14.4452,0.798752,-0.00587536,-0.0285024,0.0112263,0.0290197,0.0283899
240,229.053,14.5784,0.798399,-0.0339659,0.0414021,0.0112626,0.0284476,0.0279856
241,228.467,14.605,0.798985,-0.043552,-0.03886,0.0112502,0.028825,0.0284368
242,229.04,14.6612,0.798586,-0.0599181,0.0311736,0.0112781,0.0291285,0.0286646
243,230.827,14.7072,0.797052,-0.0236255,-0.0324667,0.0113178,0.0286988,0.0286396
244,231.987,14.7393,0.796071,0.00603914,0.0388373,0.0113558,0.0290093,0.0292042
245,230.707,14.7274,0.797183,-0.00425229,-0.0384839,0.0112954,0.0287423,0.0287841
246,228.787,14.5423,0.798503,-0.0104899,0.0256423,0.0111857,0.0290807,0.0290818
247,230.107,14.5619,0.797332,-0.00689774,-0.0508584,0.0112027,0.028904,0.0291168
248,232.227,14.8197,0.795993,-0.0269147,0.0686512,0.0113368,0.0294082,0.0289976
